ServiceName                                              ServiceShortName          ARNFormat
Amazon Managed Workflows for Apache Airflow              airflow                   arn:aws:airflow:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Mechanical Turk                                   mechanicalturk            
Amazon MemoryDB                                          memorydb                  arn:aws:memorydb:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Message Delivery Service                          ec2messages               
Amazon Message Gateway Service                           ssmmessages               
Amazon Mobile Analytics                                  mobileanalytics           
Amazon Monitron                                          monitron                  arn:aws:monitron:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon MQ                                                mq                        arn:aws:mq:${Region}:${Account}:.+
Amazon Neptune                                           neptune-db                arn:aws:neptune-db:${Region}:${Account}:${Id}/*
Amazon Neptune Analytics                                 neptune-graph             arn:aws:neptune-graph:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Nimble Studio                                     nimble                    arn:aws:nimble:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon One Enterprise                                    one                       arn:aws:one:${Region}:${Account}:${ResourceType}:${ResourceId}
Amazon OpenSearch Ingestion                              osis                      arn:aws:osis:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon OpenSearch Serverless                             aoss                      arn:aws:aoss:${Region}:${Account}:${Resource}
Amazon OpenSearch Service                                es                        arn:aws:es:${Region}:${Account}:${Resource}
Amazon Personalize                                       personalize               arn:aws:personalize:${Region}:${Account}:${Resourcename}/${ResourceId}
Amazon Pinpoint                                          mobiletargeting           arn:aws:mobiletargeting:${Region}:${Account}:.+
Amazon Pinpoint Email Service                            ses                       arn:aws:ses:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Pinpoint SMS and Voice Service                    sms-voice                 arn:aws:sms-voice:<region>:<account-id>:<resource-type>/<resource_name>
Amazon Pinpoint SMS Voice V2                             sms-voice                 arn:aws:sms-voice:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Polly                                             polly                     arn:aws:polly:${Region}:${Account}:lexicon/${RelativeId}
Amazon Q                                                 q                         
Amazon Q Business                                        qbusiness                 arn:aws:qbusiness:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Q Business Q Apps                                 qapps                     arn:aws:qapps:${Region}:${Account}:${ResourceType}:${ResourcePath}
Amazon Q in Connect                                      wisdom                    arn:aws:wisdom:${Region}:${Account}:${Resource}/${ResourceId}
Amazon QLDB                                              qldb                      arn:aws:qldb:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon QuickSight                                        quicksight                arn:aws:quicksight:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon RDS                                               rds                       arn:aws:rds:${Region}:${Account}:${RelativeId}
Amazon RDS Data API                                      rds-data                  arn:aws:rds:${Region}:${Account}:${RelativeId}
Amazon RDS IAM Authentication                            rds-db                    arn:aws:rds-db:<region>:<account-id>:dbuser:<dbi-resource-id>/<db-user-name>
Amazon Redshift                                          redshift                  arn:aws:redshift:${Region}:${Account}:${RelativeId}
Amazon Redshift Data API                                 redshift-data             arn:aws:redshift-serverless:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Redshift Serverless                               redshift-serverless       arn:aws:redshift-serverless:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon Rekognition                                       rekognition               arn:aws:rekognition:${Region}:${Account}:${RelativeId}
Amazon Resource Group Tagging API                        tag                       
Amazon RHEL Knowledgebase Portal                         rhelkb                    arn:${Partition}:rhelkb:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Route 53                                          route53                   arn:aws:route53:::${Resource}/{$Id}
Amazon Route 53 Application Recovery Controller - Zonal Shift arc-zonal-shift           arn:aws:arc-zonal-shift:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Route 53 Domains                                  route53domains            
Amazon Route 53 Profiles enables sharing DNS settings with VPCs route53profiles           arn:aws:route53profiles:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Route 53 Recovery Cluster                         route53-recovery-cluster  arn:aws:route53-recovery-control::${Account}:${ResourceType}/${ResourceName}
Amazon Route 53 Recovery Controls                        route53-recovery-control-config arn:aws:route53-recovery-control::${Account}:${ResourceType}/${ResourceName}
Amazon Route 53 Recovery Readiness                       route53-recovery-readiness arn:aws:route53-recovery-readiness::${Account}:${ResourceType}/${ResourceName}
Amazon Route 53 Resolver                                 route53resolver           arn:aws:route53resolver:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon S3                                                s3                        arn:aws:s3:::${BucketName}/${KeyName}
Amazon S3 Express                                        s3express                 arn:aws:s3express:${Region}:${Account}:bucket/${BucketName}
Amazon S3 Glacier                                        glacier                   arn:aws:glacier:${Region}:${Account}:vault/${VaultName}
Amazon S3 Object Lambda                                  s3-object-lambda          arn:aws:s3-object-lambda:::accesspoint/${AccessPointName}
Amazon S3 on Outposts                                    s3-outposts               arn:aws:s3-outposts:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon SageMaker                                         sagemaker                 arn:aws:sagemaker:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon SageMaker geospatial capabilities                 sagemaker-geospatial      arn:aws:sagemaker-geospatial:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon SageMaker Ground Truth Synthetic                  sagemaker-groundtruth-synthetic arn:${Partition}:sagemaker-groundtruth-synthetic:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon SageMaker with MLflow                             sagemaker-mlflow          arn:aws:sagemaker:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Security Lake                                     securitylake              arn:aws:securitylake:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon SES                                               ses                       arn:aws:ses:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Simple Email Service - Mail Manager               ses                       arn:aws:ses:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Simple Email Service v2                           ses                       arn:aws:ses:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Simple Workflow Service                           swf                       arn:aws:swf:${Region}:${Account}:/domain/${DomainName}
Amazon SimpleDB                                          sdb                       arn:aws:sdb:${Region}:${Account}:domain/${DomainName}
Amazon SNS                                               sns                       arn:aws:sns:${Region}:${Account}:${TopicName}
Amazon SQS                                               sqs                       arn:aws:sqs:${Region}:${Account}:${QueueName}
Amazon Textract                                          textract                  arn:aws:textract:${Region}:${Account}:${RelativeId}
Amazon Timestream                                        timestream                arn:aws:timestream:${Region}:${Account}:database/${DatabaseName}/table/${TableName}
Amazon Timestream InfluxDB                               timestream-influxdb       arn:aws:timestream-influxdb:${Region}:${Account}:${ResourceType}
Amazon Transcribe                                        transcribe                arn:aws:transcribe:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Translate                                         translate                 arn:aws:translate:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Verified Permissions                              verifiedpermissions       arn:aws:verifiedpermissions:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon VPC Lattice                                       vpc-lattice               arn:aws:vpc-lattice:${Region}:${Account}:${ResourceType}/${RelativeId}
Amazon VPC Lattice Services                              vpc-lattice-svcs          arn:aws:vpc-lattice:${Region}:${Account}:${ResourceType}/${RelativeId}
Amazon WorkDocs                                          workdocs                  arn:aws:workdocs:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon WorkLink                                          worklink                  arn:aws:worklink::${Account}:${ResourceType}/${ResourcePath}
Amazon WorkMail                                          workmail                  arn:aws:workmail:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon WorkMail Message Flow                             workmailmessageflow       arn:aws:workmailmessageflow:${Region}:${Account}:message/${OrganizationId}/${Context}/${MessageId}
Amazon WorkSpaces                                        workspaces                arn:aws:workspaces:${Region}:${Account}:*
Amazon WorkSpaces Application Manager                    wam                       
Amazon WorkSpaces Secure Browser                         workspaces-web            arn:aws:workspaces-web:${Region}:${Account}:${ResourceType}/${ResourceIdentifier}
Amazon WorkSpaces Thin Client                            thinclient                arn:aws:thinclient:${Region}:${Account}:${ResourceType}/${ResourceIdentifier}
AmazonMediaImport                                        mediaimport               arn:aws:mediaimport:${Region}:${Account}/*
Apache Kafka APIs for Amazon MSK clusters                kafka-cluster             arn:aws:kafka:${Region}:${Account}:${ResourceType}/${ResourceDescriptor}
Application Discovery Arsenal                            arsenal                   
AWS Account Management                                   account                   arn:aws:account::${Account}:account
AWS Activate                                             activate                  
AWS Amplify                                              amplify                   arn:aws:amplify:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Amplify Admin                                        amplifybackend            arn:aws:amplifybackend:${Region}:${Account}:/${ResourceType}/${ResourceName}
AWS Amplify UI Builder                                   amplifyuibuilder          arn:aws:amplifyuibuilder:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS App Mesh                                             appmesh                   arn:aws:appmesh:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS App Mesh Preview                                     appmesh-preview           arn:aws:appmesh-preview:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS App Runner                                           apprunner                 arn:aws:apprunner:${Region}:${Account}:${ResourceType}/${PathToResource}
AWS App Studio                                           appstudio                 arn:${Partition}:appstudio:${Region}:${Account}:${ResourceType}:${ResourcePath}
AWS App2Container                                        a2c                       arn:${Partition}:a2c:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS AppConfig                                            appconfig                 arn:aws:appconfig:${Region}:${Account}:${RelativeId}
AWS AppFabric                                            appfabric                 arn:aws:appfabric:${Region}:${Account}:${ResourceInfo}
AWS Application Auto Scaling                             application-autoscaling   arn:aws:application-autoscaling:${Region}:${Account}:${RelativeId}
AWS Application Cost Profiler Service                    application-cost-profiler 
AWS Application Discovery Service                        discovery                 
AWS Application Migration Service                        mgn                       arn:aws:mgn:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Application Transformation Service                   application-transformation arn:${Partition}:application-transformation:${Region}:${Account}:${ResourceType}
AWS AppSync                                              appsync                   arn:aws:appsync:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS Artifact                                             artifact                  arn:aws:artifact:::${Resource}
AWS Audit Manager                                        auditmanager              arn:aws:auditmanager:::${ResourceType}/${ResourceName}
AWS Auto Scaling                                         autoscaling-plans         
AWS B2B Data Interchange                                 b2bi                      arn:aws:b2bi:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Backup                                               backup                    arn:aws:backup:${Region}:${Account}:${ResourceType}:${ResourceName}
AWS Backup Gateway                                       backup-gateway            arn:aws:backup-gateway:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS Backup storage                                       backup-storage            arn:${Partition}:backup-storage:${Region}:${Account}:${ResourceType}:${ResourceName}
AWS Batch                                                batch                     arn:aws:batch:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS Billing                                              billing                   
AWS Billing And Cost Management Data Exports             bcm-data-exports          arn:aws:bcm-data-exports:${Region}:${Account}:${ResourceType}
AWS Billing Conductor                                    billingconductor          arn:aws:billingconductor::${Account}:${ResourceType}
AWS Billing Console                                      aws-portal                
AWS Budget Service                                       budgets                   arn:aws:budgets::${Account}:budget/${BudgetName}
AWS BugBust                                              bugbust                   arn:aws:bugbust:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Certificate Manager                                  acm                       arn:aws:acm:${Region}:${Account}:${ArnType}/${ResourceId}
AWS Chatbot                                              chatbot                   arn:aws:chatbot::${Account}:chat-configuration/${ConfigurationType}/${ChatbotConfigurationName}
AWS Clean Rooms                                          cleanrooms                arn:aws:cleanrooms:${Region}:${Account}:${ResourceType}/${PathToResource}
AWS Clean Rooms ML                                       cleanrooms-ml             arn:aws:cleanrooms-ml:${Region}:${Account}:${ResourceType}/${ResourceIdentifier}
AWS Cloud Control API                                    cloudformation            arn:aws:cloudformation:${Region}:${Account}:${RelativeId}
AWS Cloud Map                                            servicediscovery          arn:aws:servicediscovery:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Cloud9                                               cloud9                    arn:aws:cloud9:${Region}:${Account}:${ResourceType}:${ResourceId}
AWS CloudFormation                                       cloudformation            arn:aws:cloudformation:${Region}:${Account}:${ResourceType}/${Id}
AWS CloudHSM                                             cloudhsm                  arn:aws:cloudhsm:${Region}:${Account}:${ResourceName}
AWS CloudShell                                           cloudshell                arn:aws:cloudshell:${Region}:${Account}:environment/${EnvironmentId}
AWS CloudTrail                                           cloudtrail                arn:aws:cloudtrail:${Region}:${Account}:${Resource}
AWS CloudTrail Data                                      cloudtrail-data           arn:aws:cloudtrail:${Region}:${Account}:${Resource}
AWS CloudWatch RUM                                       rum                       arn:aws:rum:${Region}:${Account}:appmonitor/${Name}
AWS CodeArtifact                                         codeartifact              arn:aws:codeartifact:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS CodeBuild                                            codebuild                 arn:aws:codebuild:${Region}:${Account}:build/${BuildId}
AWS CodeCommit                                           codecommit                arn:aws:codecommit:${Region}:${Account}:${RepositoryName}
AWS CodeConnections                                      codeconnections           arn:aws:codeconnections:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS CodeDeploy                                           codedeploy                arn:aws:codedeploy:${Region}:${Account}:${ResourceType}:${ResourceSpecifier}
AWS CodeDeploy secure host commands service              codedeploy-commands-secure 
AWS CodePipeline                                         codepipeline              arn:aws:codepipeline:${Region}:${Account}:${PathToPipelineResource}
AWS CodeStar                                             codestar                  arn:aws:codestar:${Region}:${Account}:project/${ResourceId}
AWS CodeStar Connections                                 codestar-connections      arn:aws:codestar-connections:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS CodeStar Notifications                               codestar-notifications    arn:aws:codestar-notifications:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Compute Optimizer                                    compute-optimizer         
AWS Config                                               config                    arn:aws:config:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Connector Service                                    awsconnector              arn:aws:<serviceName>:<region>:<account-id>:<resource-type>/<resource_name>
AWS Console Mobile App                                   consoleapp                arn:aws:consoleapp:${Region}:${Account}:${ResourceType}
AWS Consolidated Billing                                 consolidatedbilling       arn:${Partition}:consolidatedbilling::${Account}:${ResourceType}/${ResourceId}
AWS Control Catalog                                      controlcatalog            arn:aws:controlcatalog:::${ResourceType}/${ResourcePath}
AWS Control Tower                                        controltower              arn:aws:controltower:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Cost and Usage Report                                cur                       arn:aws:cur:${Region}:${Account}:definition/${ResourceName}
AWS Cost Explorer Service                                ce                        arn:aws:ce::${Account}:${ResourceType}/${ResourceName}
AWS Cost Optimization Hub                                cost-optimization-hub     
AWS Customer Verification Service                        customer-verification     
AWS Data Exchange                                        dataexchange              arn:aws:dataexchange:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Data Pipeline                                        datapipeline              arn:aws:datapipeline:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS Database Migration Service                           dms                       arn:aws:dms:${Region}:${Account}:${Resource}
AWS DataSync                                             datasync                  arn:aws:datasync:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Deadline Cloud                                       deadline                  arn:aws:deadline:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS DeepComposer                                         deepcomposer              arn:aws:deepcomposer:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS DeepLens                                             deeplens                  arn:aws:deeplens:<region>:<account-id>:<resource-type>/<resource_name>
AWS DeepRacer                                            deepracer                 arn:aws:deepracer:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Device Farm                                          devicefarm                arn:aws:devicefarm:${Region}:${Account}:${ResourceType}:${ResourceId}
AWS Diagnostic tools                                     ts                        arn:aws:ts::${Account}:execution/${UserId}/${ToolId}/${ExecutionId}
AWS Direct Connect                                       directconnect             arn:aws:directconnect:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Directory Service                                    ds                        arn:aws:ds:${Region}:${Account}:${RelativeId}
AWS Elastic Beanstalk                                    elasticbeanstalk          arn:aws:elasticbeanstalk:${Region}:${Account}:${ResourceType}/${PathToResource}
